n,time_us_th_5,time_us_th_10,time_us_th_15,time_us_th_20,time_us_th_30,time_us_th_50
500,9.59,6.74,6.59,4.99,4.72,4.02
600,14.59,8.96,7.66,5.96,7.44,6.88
700,20.08,13.15,8.67,8.82,6.84,5.96
800,19.63,13.59,9.46,9.29,7.75,7.59
900,20.58,14.76,10.99,10.45,8.93,8.72
1000,21.39,15.18,15.03,11.64,11.36,10.73
1100,25.59,16.64,18.83,13.47,13.34,11.49
1200,33.03,19.77,17.40,17.93,13.64,12.71
1300,35.68,24.62,18.24,17.98,16.23,12.90
1400,44.98,25.40,19.44,19.35,18.06,15.04
1500,41.51,28.41,21.41,20.94,17.40,19.47
1600,39.70,29.98,28.68,21.86,19.99,18.16
1700,40.56,31.20,22.65,24.94,18.95,19.80
1800,41.73,31.02,26.01,24.18,21.64,20.37
1900,45.97,70.35,32.77,25.04,23.95,22.92
2000,44.00,33.00,32.87,28.04,27.14,26.31
2100,51.84,35.61,35.32,29.22,28.69,25.66
2200,54.28,36.24,36.13,30.50,29.20,25.38
2300,59.74,37.06,36.68,31.71,29.71,26.50
2400,65.40,44.07,39.25,31.60,31.37,29.07
2500,72.68,49.34,40.30,36.35,32.57,30.47
2600,78.34,53.55,55.77,71.90,54.88,47.26
2700,81.06,84.87,57.35,60.81,50.68,54.35
2800,158.91,64.81,46.87,44.00,39.06,33.17
2900,102.50,60.30,46.19,48.93,52.25,35.85
3000,80.93,60.74,47.71,46.01,39.61,35.36
3100,81.56,59.97,52.70,49.98,41.27,37.05
3200,92.91,63.23,48.14,48.07,42.85,41.06
3300,86.40,64.44,51.29,52.29,43.60,44.43
3400,86.67,67.44,52.63,52.38,44.71,45.39
3500,88.10,67.97,53.92,53.82,50.77,46.16
3600,87.77,67.83,66.13,55.05,47.75,47.62
3700,100.26,72.88,64.82,56.97,49.65,72.69
3800,94.33,73.00,73.87,57.97,54.77,52.67
3900,95.45,72.50,73.21,59.31,62.16,53.60
4000,97.19,74.87,75.97,61.38,63.29,54.04
4100,97.44,78.05,84.10,68.07,67.15,54.73
4200,105.64,172.65,101.19,93.40,96.01,60.59
4300,174.68,84.67,103.50,69.51,69.19,87.56
4400,174.35,101.58,107.13,110.24,82.27,70.73
4500,160.85,199.66,109.56,83.49,98.25,72.64
4600,151.29,110.16,99.20,124.67,72.08,63.76
4700,137.10,100.60,89.73,78.21,71.38,65.30
4800,146.28,101.45,105.48,76.15,75.50,65.00
4900,150.04,108.45,129.09,105.14,120.54,92.59
5000,158.47,111.97,92.87,85.80,76.44,69.91
5100,161.01,116.84,95.75,93.78,80.11,70.25
5200,159.68,126.04,105.00,95.62,84.61,74.52
5300,163.96,126.57,97.98,103.24,82.15,73.50
5400,169.15,122.44,96.86,97.90,84.29,85.41
5500,190.58,124.31,103.21,101.92,84.63,76.64
5600,168.48,122.82,113.45,100.50,86.76,77.09
5700,176.64,167.62,103.24,101.74,92.72,78.50
5800,174.86,132.02,105.20,104.93,93.36,83.68
5900,173.49,132.74,105.42,109.27,105.12,83.25
6000,176.24,134.40,111.39,108.09,101.57,84.97
6100,173.62,131.23,110.95,108.93,94.19,99.96
6200,182.68,138.08,118.93,114.76,95.25,88.19
6300,181.68,139.24,114.12,114.02,97.46,92.07
6400,182.33,140.40,113.85,112.62,101.00,98.79
6500,184.80,141.95,114.93,119.00,100.58,101.34
6600,185.06,145.32,125.97,119.24,101.33,103.22
6700,188.89,144.02,117.50,118.53,103.59,107.59
6800,188.31,146.85,168.79,121.63,106.57,104.68
6900,191.62,147.18,130.66,119.96,110.86,107.54
7000,190.06,149.79,125.85,123.46,110.11,109.39
7100,193.95,152.98,126.39,127.60,108.52,112.43
7200,241.59,152.58,130.40,126.97,187.40,111.88
7300,196.94,175.81,139.42,130.52,114.60,114.11
7400,305.65,168.09,194.35,137.78,113.09,116.00
7500,209.37,191.54,161.78,133.83,122.29,119.47
7600,219.14,163.18,159.45,134.88,130.27,124.49
7700,205.48,170.25,162.61,134.64,134.79,123.67
7800,255.96,166.85,164.62,139.25,138.27,125.40
7900,210.31,177.20,167.38,139.99,151.04,123.85
8000,228.97,171.47,181.24,147.32,140.85,126.97
8100,216.62,209.87,177.92,157.14,144.64,127.92
8200,217.69,170.73,171.29,147.40,151.59,128.87
8300,225.14,175.88,175.25,145.36,147.23,134.01
8400,232.06,175.79,176.76,149.80,147.21,132.43
8500,237.98,211.06,177.27,168.87,150.77,146.72
8600,241.71,180.63,179.23,155.93,150.89,137.05
8700,246.08,181.32,180.82,155.13,153.25,138.30
8800,260.45,183.47,185.91,162.05,158.80,142.93
8900,263.84,187.03,186.47,156.65,156.32,138.33
9000,266.20,237.29,191.24,163.85,158.70,142.72
9100,272.66,195.29,192.90,163.11,161.63,142.52
9200,294.39,189.46,194.45,165.55,164.18,151.02
9300,306.30,207.63,291.23,266.78,182.52,154.95
9400,331.15,207.44,203.35,166.82,171.99,147.76
9500,301.48,214.53,198.53,169.11,180.31,152.01
9600,305.11,226.06,199.52,167.75,166.90,151.28
9700,307.71,222.03,198.55,169.96,167.99,152.83
9800,316.45,227.79,202.01,179.02,174.79,155.91
9900,322.07,242.60,209.56,184.96,175.58,156.01
10000,342.45,243.71,213.60,193.13,178.84,162.92
