n,time_us_th_5,time_us_th_10,time_us_th_15,time_us_th_20,time_us_th_30,time_us_th_50
500,14.68,10.00,9.06,8.28,7.72,8.19
600,21.23,13.96,12.53,11.11,10.15,11.69
700,27.18,18.86,15.27,14.12,13.69,13.71
800,30.15,23.63,20.30,19.78,16.29,15.35
900,36.51,28.65,25.57,22.10,28.57,19.60
1000,42.69,33.72,31.80,29.10,57.60,25.24
1100,49.65,39.16,36.28,34.39,33.34,30.78
1200,61.20,49.13,43.69,37.58,36.85,35.61
1300,69.35,57.25,51.74,48.57,42.83,39.37
1400,83.47,61.62,56.14,53.73,52.54,46.07
1500,93.31,71.94,63.27,64.85,55.04,49.78
1600,85.49,86.21,67.81,63.50,56.79,55.96
1700,95.46,78.74,71.04,69.33,64.42,64.53
1800,109.66,86.73,75.92,79.05,75.67,68.57
1900,115.71,91.62,122.66,83.90,79.28,73.54
2000,108.18,92.98,93.58,89.31,115.05,76.09
2100,117.12,102.05,101.12,91.67,87.60,86.68
2200,131.04,106.03,103.47,94.01,93.95,87.27
2300,140.86,110.43,109.63,98.36,98.64,93.88
2400,167.05,122.40,119.48,103.90,104.34,95.19
2500,175.66,136.60,121.76,116.80,106.73,104.17
2600,247.40,143.31,128.64,155.00,134.43,139.13
2700,174.84,190.66,175.54,165.21,154.14,146.12
2800,201.84,158.19,149.14,146.77,122.71,126.90
2900,186.59,167.52,142.77,138.82,133.31,122.70
3000,191.72,161.62,147.71,141.85,134.76,125.59
3100,192.97,174.78,151.05,150.17,133.86,147.69
3200,202.38,174.79,153.19,162.51,148.88,147.75
3300,199.97,175.14,165.20,158.85,196.72,146.73
3400,213.88,182.95,172.47,161.69,148.70,152.26
3500,236.46,186.69,168.93,167.98,154.20,155.24
3600,215.63,192.32,178.59,175.98,160.76,159.35
3700,243.50,200.88,187.61,180.32,166.48,168.35
3800,226.76,202.23,217.54,195.73,181.41,169.10
3900,248.64,211.95,208.05,188.18,196.12,175.82
4000,238.07,222.04,219.90,192.23,190.39,180.54
4100,243.67,217.11,289.76,199.08,197.46,187.61
4200,271.00,233.12,259.11,240.10,241.91,225.02
4300,385.52,312.17,256.48,281.33,246.99,332.32
4400,362.72,270.74,479.32,247.08,236.04,252.00
4500,405.68,297.07,282.22,279.12,253.43,243.60
4600,345.34,285.02,288.78,258.52,246.28,216.13
4700,329.71,261.59,253.67,230.76,236.56,218.00
4800,332.46,272.60,261.71,250.03,239.79,231.60
4900,337.07,283.67,328.08,308.92,324.73,307.52
5000,427.63,292.86,273.05,259.45,245.39,230.95
5100,347.26,299.42,276.27,269.37,248.07,236.74
5200,355.47,412.86,276.16,278.99,254.24,241.68
5300,365.77,313.37,279.51,324.14,260.91,249.71
5400,367.22,318.77,305.02,288.48,263.10,248.21
5500,379.30,344.46,294.61,296.21,273.61,272.71
5600,375.99,326.74,303.95,305.27,275.41,269.09
5700,385.75,349.41,301.23,301.56,286.13,267.83
5800,387.34,344.87,332.44,313.40,284.06,302.04
5900,395.63,346.80,314.69,315.09,289.01,276.37
6000,405.55,351.12,319.35,317.54,291.53,280.63
6100,412.93,358.09,326.00,321.71,297.39,300.45
6200,413.14,364.63,332.39,332.91,301.37,297.55
6300,417.98,465.37,334.30,332.74,325.91,300.54
6400,424.43,383.45,340.68,337.07,310.92,318.57
6500,428.87,379.86,378.08,342.56,317.36,321.74
6600,437.08,389.56,358.91,354.02,319.92,330.02
6700,511.97,390.40,357.97,367.24,333.61,333.91
6800,457.61,401.45,362.36,359.25,337.58,333.67
6900,479.80,402.34,365.25,369.62,343.82,339.28
7000,462.34,409.12,372.69,368.54,340.24,343.90
7100,549.87,417.60,377.22,372.21,349.81,371.42
7200,465.02,421.14,405.12,382.74,352.75,352.88
7300,471.58,425.96,420.72,394.89,380.22,367.22
7400,519.86,447.07,425.91,449.36,366.09,381.25
7500,531.93,452.26,451.57,421.26,399.76,383.54
7600,513.18,444.21,440.73,473.00,390.49,374.51
7700,509.90,451.42,453.30,407.43,419.38,380.43
7800,507.55,463.42,454.62,496.08,413.86,388.40
7900,520.04,462.02,476.14,416.71,422.14,396.67
8000,515.19,467.64,468.46,423.14,425.79,398.95
8100,521.17,473.83,476.57,431.17,438.83,396.72
8200,535.93,475.61,482.77,433.19,432.83,435.51
8300,543.68,618.44,491.38,530.18,435.05,411.78
8400,553.73,502.26,493.21,445.22,443.67,420.38
8500,567.75,495.95,504.30,449.78,523.91,423.83
8600,592.80,506.11,507.96,463.49,468.27,434.98
8700,605.46,522.99,520.09,474.80,473.40,439.55
8800,604.32,513.30,535.37,466.11,506.29,438.60
8900,708.90,515.54,514.73,468.02,474.52,444.56
9000,633.76,522.65,530.86,474.18,490.92,450.51
9100,624.94,539.09,528.68,491.79,483.53,454.67
9200,645.36,567.53,553.23,516.54,495.33,487.98
9300,655.89,562.80,628.50,644.21,645.66,526.63
9400,672.06,585.32,542.64,501.04,498.80,475.78
9500,702.10,579.29,554.35,520.90,503.68,497.60
9600,689.63,598.23,558.70,514.10,507.59,495.08
9700,688.83,596.13,560.83,510.73,519.46,490.89
9800,714.12,612.37,567.97,539.85,526.57,511.18
9900,717.82,617.70,586.64,543.25,528.29,499.30
10000,724.77,645.35,587.52,561.84,559.96,505.77
