n,time_us_th_5,time_us_th_10,time_us_th_15,time_us_th_20,time_us_th_30,time_us_th_50
500,13.05,6.68,6.48,5.91,5.57,7.48
600,14.27,8.93,7.74,7.32,10.97,19.74
700,17.97,11.36,8.90,8.68,8.90,12.29
800,19.04,12.99,9.93,9.82,10.86,10.46
900,19.47,13.98,11.52,11.07,12.49,12.27
1000,20.75,14.32,14.18,12.70,12.43,14.86
1100,24.23,15.65,16.70,15.53,23.15,19.76
1200,29.54,18.82,16.73,17.20,15.43,20.23
1300,33.71,22.88,17.79,17.59,17.46,21.82
1400,34.56,24.23,19.16,18.93,19.55,26.30
1500,40.58,25.87,20.80,20.40,21.34,29.14
1600,36.85,26.18,22.86,21.37,24.45,22.97
1700,38.14,27.66,23.52,23.23,25.26,28.79
1800,38.63,28.28,26.41,24.45,28.24,26.87
1900,44.63,29.72,31.01,25.83,26.53,28.56
2000,40.60,32.07,31.49,28.61,37.26,31.55
2100,45.18,32.16,32.17,29.59,29.40,35.74
2200,50.88,34.05,35.28,31.47,31.20,36.52
2300,54.92,37.84,35.68,32.26,31.99,39.42
2400,63.52,40.11,36.38,34.57,35.02,41.96
2500,74.81,45.32,37.12,36.44,37.24,48.08
2600,82.33,47.87,52.32,62.33,63.10,69.95
2700,77.63,62.16,51.27,64.39,68.61,92.06
2800,108.99,51.00,47.00,42.01,45.41,57.55
2900,77.30,57.96,42.86,45.91,58.97,55.56
3000,78.10,53.62,43.73,50.77,50.91,61.69
3100,76.65,54.49,50.68,44.18,48.04,66.95
3200,77.13,55.02,48.56,51.79,50.71,50.72
3300,77.02,71.06,48.11,47.58,55.07,52.70
3400,81.78,58.58,56.28,52.59,54.47,54.87
3500,79.81,60.38,51.38,52.80,56.66,65.79
3600,81.75,62.13,53.82,62.39,57.80,57.55
3700,89.01,62.40,59.03,56.35,60.47,61.45
3800,86.06,62.87,66.27,57.71,57.93,66.31
3900,85.23,63.90,65.14,56.56,69.26,68.88
4000,84.93,68.04,65.69,58.11,61.89,70.66
4100,88.36,65.04,71.66,60.13,59.53,68.49
4200,96.03,159.59,106.39,69.46,67.05,84.20
4300,114.45,164.22,109.01,97.85,116.43,79.90
4400,150.31,80.28,93.77,117.75,96.17,106.03
4500,163.51,101.70,112.88,95.00,72.24,115.46
4600,149.21,97.82,92.27,90.39,80.75,97.45
4700,123.44,79.82,76.41,155.78,77.63,101.05
4800,130.70,87.87,77.65,74.64,73.71,86.59
4900,136.13,90.34,116.52,123.29,120.71,161.62
5000,147.77,96.47,82.84,85.73,79.16,92.18
5100,143.39,100.07,83.64,82.21,79.81,94.22
5200,147.32,124.18,90.81,82.54,79.81,96.61
5300,155.81,104.54,87.10,87.51,84.18,103.78
5400,148.75,107.55,85.69,85.71,84.72,103.09
5500,156.81,109.18,87.41,88.48,96.77,111.76
5600,151.37,109.97,88.29,89.61,89.38,115.83
5700,153.72,110.46,90.07,91.37,92.79,119.96
5800,156.45,111.86,96.43,96.10,94.10,120.59
5900,153.65,116.28,94.79,93.18,94.95,126.87
6000,154.32,127.71,95.15,97.89,96.36,123.89
6100,158.62,116.95,103.85,98.75,102.40,155.01
6200,169.07,117.02,98.41,100.72,101.51,132.95
6300,162.02,120.95,101.87,101.74,112.12,128.50
6400,160.54,118.11,102.24,103.00,126.95,109.23
6500,160.52,122.26,111.42,102.14,111.63,120.45
6600,170.78,121.91,104.57,105.68,113.47,111.26
6700,166.83,124.97,116.11,107.78,120.00,135.80
6800,168.50,126.82,154.94,106.71,113.53,128.97
6900,165.50,127.81,117.77,110.18,120.33,127.69
7000,167.46,129.17,119.41,112.30,119.74,129.07
7100,168.89,128.47,114.68,113.38,122.01,121.65
7200,175.11,131.98,117.16,112.64,121.87,124.93
7300,174.18,131.34,125.50,118.78,144.87,129.06
7400,235.68,146.11,131.06,125.59,139.23,140.64
7500,183.17,137.55,144.48,122.61,131.20,134.75
7600,176.01,137.75,133.64,119.63,123.96,195.58
7700,176.97,137.16,143.24,125.08,124.23,145.56
7800,179.01,139.16,139.30,123.27,123.02,143.43
7900,180.50,142.60,142.08,127.70,134.08,141.20
8000,180.83,143.24,143.22,133.91,127.61,141.56
8100,189.21,154.59,164.33,136.23,132.25,147.72
8200,184.84,141.89,143.80,130.37,129.70,145.93
8300,194.36,148.74,178.25,134.78,133.87,149.75
8400,199.63,160.81,149.06,148.31,136.08,160.75
8500,209.59,156.45,148.84,177.54,137.61,170.22
8600,214.15,149.99,156.39,149.45,141.06,163.54
8700,216.21,149.12,149.54,144.41,141.17,192.45
8800,243.39,156.60,155.56,144.17,146.54,171.35
8900,225.79,158.71,162.08,146.70,149.18,169.76
9000,234.27,160.23,159.86,150.72,148.07,167.88
9100,237.26,165.59,160.30,148.14,148.19,179.99
9200,244.27,168.97,162.97,149.91,157.31,182.09
9300,279.63,175.40,224.61,241.14,186.75,188.33
9400,260.72,174.84,180.57,156.48,163.12,182.44
9500,268.88,177.83,166.55,160.95,157.64,186.60
9600,266.35,190.70,168.51,160.76,162.01,184.51
9700,302.69,185.03,167.39,160.36,160.52,203.05
9800,278.79,195.74,168.62,165.18,183.95,193.76
9900,309.34,199.54,173.61,180.32,165.53,195.34
10000,302.70,207.75,180.88,171.12,173.27,204.58
