n,time_us
500,27.60
600,38.04
700,45.39
800,56.69
900,69.73
1000,71.06
1100,86.24
1200,89.71
1300,101.05
1400,118.12
1500,123.44
1600,142.00
1700,132.26
1800,155.62
1900,154.90
2000,154.20
2100,176.53
2200,216.55
2300,197.92
2400,194.46
2500,206.28
2600,209.80
2700,251.87
2800,319.56
2900,252.87
3000,250.01
3100,262.77
3200,276.00
3300,294.85
3400,285.84
3500,309.27
3600,305.86
3700,320.01
3800,396.78
3900,336.63
4000,342.38
4100,456.03
4200,372.40
4300,537.59
4400,478.98
4500,493.84
4600,469.41
4700,413.22
4800,433.38
4900,447.01
5000,577.95
5100,455.28
5200,485.56
5300,458.55
5400,468.79
5500,480.79
5600,494.39
5700,534.61
5800,511.49
5900,525.15
6000,541.44
6100,542.92
6200,549.45
6300,582.48
6400,581.08
6500,582.74
6600,591.34
6700,630.48
6800,617.09
6900,626.92
7000,627.37
7100,635.66
7200,654.30
7300,651.48
7400,732.34
7500,750.53
7600,826.56
7700,696.29
7800,728.47
7900,719.90
8000,744.01
8100,739.92
8200,754.30
8300,752.31
8400,756.73
8500,794.26
8600,819.04
8700,829.96
8800,808.01
8900,838.93
9000,915.26
9100,851.98
9200,834.62
9300,873.83
9400,919.75
9500,899.93
9600,911.20
9700,900.74
9800,919.33
9900,914.47
10000,916.39
