n,time_us
500,20.93
600,26.27
700,31.42
800,36.02
900,47.10
1000,42.30
1100,51.10
1200,56.82
1300,55.91
1400,69.51
1500,75.99
1600,73.88
1700,75.29
1800,80.20
1900,85.12
2000,87.08
2100,93.08
2200,118.15
2300,115.17
2400,106.83
2500,110.85
2600,114.01
2700,146.81
2800,176.16
2900,220.23
3000,134.67
3100,146.89
3200,145.38
3300,150.25
3400,154.04
3500,163.34
3600,164.30
3700,166.63
3800,169.71
3900,175.92
4000,178.84
4100,201.37
4200,208.11
4300,273.56
4400,208.59
4500,325.95
4600,319.83
4700,214.44
4800,237.16
4900,260.34
5000,334.06
5100,241.76
5200,236.19
5300,246.76
5400,267.43
5500,260.20
5600,263.95
5700,260.83
5800,266.09
5900,273.58
6000,276.02
6100,277.78
6200,284.73
6300,288.11
6400,322.86
6500,298.44
6600,304.31
6700,310.22
6800,312.04
6900,316.51
7000,316.89
7100,324.13
7200,331.15
7300,377.86
7400,365.99
7500,365.98
7600,365.25
7700,353.96
7800,364.09
7900,359.77
8000,364.06
8100,366.92
8200,368.04
8300,391.36
8400,384.62
8500,393.77
8600,396.76
8700,416.99
8800,405.31
8900,416.92
9000,422.17
9100,428.69
9200,436.31
9300,496.00
9400,467.85
9500,444.53
9600,451.43
9700,548.37
9800,454.82
9900,561.81
10000,463.29
